URL,Titre,Source,Categorie,Severite,Date
https://nvd.nist.gov/vuln/detail/CVE-2017-20227,CVE-2017-20227,NVD,cve,critique,2026-03-28T13:12:22.970764+00:00
https://nvd.nist.gov/vuln/detail/CVE-2017-20225,CVE-2017-20225,NVD,cve,critique,2026-03-28T13:12:16.398582+00:00
https://nvd.nist.gov/vuln/detail/CVE-2016-20049,CVE-2016-20049,NVD,cve,critique,2026-03-28T13:12:10.685455+00:00
https://www.zataz.com/la-commission-europeenne-sous-menace-de-fuite/,La Commission européenne sous menace de fuite,Zataz,cyberattaque,critique,2026-03-28T13:11:54.611756+00:00
https://github.com/1numak1/CVE-2025-31337,1numak1/CVE-2025-31337,GitHub PoC,poc,info,2026-03-28T11:35:31.235795+00:00
https://github.com/Vimash-Dilsara/-CVE-2026-1657,Vimash-Dilsara/-CVE-2026-1657,GitHub PoC,poc,info,2026-03-28T11:35:31.013121+00:00
https://github.com/4nuxd/CVE-2025-66034,4nuxd/CVE-2025-66034,GitHub PoC,poc,info,2026-03-28T11:35:31.008622+00:00
https://www.zataz.com/un-outil-zataz-pour-decoder-un-qr-code-localement/,Un outil Zataz pour décoder un QR code localement,Zataz,cyberattaque,critique,2026-03-28T10:41:18.884315+00:00
https://www.zataz.com/cyber-actualites-zataz-de-la-semaine-du-23-au-29-mars-2026/,Cyber actualités ZATAZ de la semaine du 23 au 29 mars 2026,Zataz,cyberattaque,critique,2026-03-28T10:41:14.831959+00:00
https://www.zataz.com/le-1er-avril-je-demonte-le-social-engineering-a-incyber/,"Le 1er avril, je démontre le social engineering à InCyber",Zataz,cyberattaque,info,2026-03-28T10:41:02.489263+00:00
https://www.securityweek.com/cloudflare-themed-clickfix-attack-drops-infiniti-stealer-on-macs/,Cloudflare-Themed ClickFix Attack Drops Infiniti Stealer on Macs,SecurityWeek,cyberattaque,important,2026-03-28T10:40:56.692657+00:00
https://thehackernews.com/2026/03/citrix-netscaler-under-active-recon-for.html,Citrix NetScaler Under Active Recon for CVE-2026-3055 (CVSS 9.3) Memory Overread Bug,The Hacker News,cyberattaque,critique,2026-03-28T10:40:51.127470+00:00
https://www.zataz.com/faux-lacoste-sur-tiktok-les-signaux-dalerte/,"Faux Lacoste sur TikTok, les signaux d’alerte",Zataz,cyberattaque,moyen,2026-03-28T09:47:55.122974+00:00
https://www.zataz.com/carecloud-face-a-un-incident-critique-sous-surveillance/,CareCloud face à un incident critique sous surveillance,Zataz,cyberattaque,critique,2026-03-28T09:47:45.519163+00:00
https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0365/,Multiples vulnérabilités dans Spring AI (27 mars 2026),CERT-FR Avis,alerte,critique,2026-03-28T07:49:59.343825+00:00
https://thehackernews.com/2026/03/ta446-deploys-leaked-darksword-ios.html,TA446 Deploys Leaked DarkSword iOS Exploit Kit in Targeted Spear-Phishing Campaign,The Hacker News,cyberattaque,critique,2026-03-28T07:49:49.258493+00:00
https://www.darkreading.com/vulnerabilities-threats/critical-flaw-langflow-ai-platform-under-attack,Critical Flaw in Langflow AI Platform Under Attack,Dark Reading,cyberattaque,critique,2026-03-28T07:49:43.785601+00:00
https://thehackernews.com/2026/03/cisa-adds-cve-2025-53521-to-kev-after.html,CISA Adds CVE-2025-53521 to KEV After Active F5 BIG-IP APM Exploitation,The Hacker News,cyberattaque,critique,2026-03-28T07:49:39.919111+00:00
https://nvd.nist.gov/vuln/detail/CVE-2025-12886,CVE-2025-12886,NVD,cve,important,2026-03-28T05:01:15.074701+00:00
https://nvd.nist.gov/vuln/detail/CVE-2026-4987,CVE-2026-4987,NVD,cve,important,2026-03-28T02:50:28.349488+00:00
